pathway,co_title,co_desc,co_url,co_rating
BackEnd Developer,Meta Back-End Developer Professional Certificate,"This certificate, designed by the software engineering experts at  Meta—the creators of Facebook and Instagram, will prepare you for an entry-level career as a back-end developer. ",https://www.coursera.org/professional-certificates/meta-back-end-developer,4.7
BackEnd Developer,Udacity - Full Stack Developer Nanodegree,"Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day.",https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,4.5
BackEnd Developer,,,,
Data Analyst,Google Data Analytics Professional Certificate,"Learn how to process and analyze data, use key analysis tools, apply R programming, and create visualizations that can inform key business decisions.",https://www.coursera.org/professional-certificates/google-data-analytics,4.8
Data Analyst,Udacity - Data Analyst Nanodegree,"Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions",https://www.udacity.com/course/data-analyst-nanodegree--nd002,4.6
Data Analyst,IBM Data Analytics with Excel and R Professional Certificate,"Learn the core principles of data analysis and gain experience with data manipulation using R and Excel, analytical techniques, and working with a variety of data sources.",https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,4.7
Data Scientist,IBM Data Science Professional Certificate,"Learn the foundations of data science and develop hands-on skills using the tools, languages, and libraries used by professional data scientists.
",https://www.coursera.org/professional-certificates/ibm-data-science,4.6
Data Scientist,Le Wagon - Data Science Bootcamp,Chart a new career path as a data scientist with the #1 ranked bootcamp in Zurich or online.,https://www.lewagon.com/zurich/data-science-course,4.9
Data Scientist,Udacity Data Scientist Nanodegree,"Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.",https://www.udacity.com/course/data-scientist-nanodegree--nd025,4.7
FrontEnd Developer,Meta Front-End Developer Professional Certificate,"This certificate, designed by the software engineering experts at Meta—the creators of Facebook and Instagram, will prepare you for a career as a front-end developer.

",https://www.coursera.org/professional-certificates/meta-front-end-developer,4.7
FrontEnd Developer,Udacity - FrontEnd Developer Nanodegree,Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,4.6
FullStack Developer,Le Wagon - Web Development Bootcamp,Learn to build web applications from scratch and land your dream job as developer with the #1 ranked bootcamp in the world.,https://www.lewagon.com/web-development-course,4.9
FullStack Developer,IBM Full Stack Software Developer Professional Certificate,"Master Cloud Native and Full Stack Development using hands-on projects involving HTML, JavaScript, Node.js, Python, Django, Containers, Microservices and more. ",https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,4.5
IT Project Manager,Google - Project Management Professional Certificate,"Start your path to a career in project management. In this program, you’ll learn in-demand skills that will have you job-ready in less than six months. No degree or experience is required.",https://www.coursera.org/professional-certificates/google-project-management,4.8
IT Project Manager,Udacity - Digital Project Manager Nanodegree,"Build confidence translating business requirements into project scope statements, creating project plans in Waterfall or Agile, and developing a high-performing team.",https://www.udacity.com/course/digital-project-management-nanodegree--nd043,4.4
IT Project Manager,UWashingtonX - IT Project Management,Learn & apply the latest PM techniques and strategies,https://www.edx.org/professional-certificate/uwashingtonx-it-project-management,4.5
Product Manager,AWS - Real-World Product Management Specialization,"Learn product management (PM) from the technology leaders who hire PMs! Develop your product management skills to rival any entry-level PM at Amazon, Google, Facebook, Microsoft, or Silicon Valley startup.",https://www.coursera.org/specializations/real-world-product-management,4.6
Product Manager,AI Product Management Specialization,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems. Learn to apply the data science process and best practices to lead machine learning projects, and how to develop human-centered AI products which ensure privacy and ethical standards.",https://www.coursera.org/specializations/ai-product-management-duke,4.7
UX/UI Designer,UX Design Boot Camp and Community,Become a professional in UX Design after 22 weeks. Study part-time from anywhere,https://www.technigo.io/ux-design-boot-camp,
UX/UI Designer,Google UX Design Professional Certificate,"Learn UX foundations and gain experience with the design process, including how to build wireframes and prototypes and conduct user research to test your designs.",https://www.coursera.org/professional-certificates/google-ux-design,4.8
UX/UI Designer,"Udemy - Complete Web & Mobile Designer in 2023: UI/UX, Figma, +more","Just updated with all modern Design tools and best practices for 2023! Join a live online community of over 900,000+ students and a course taught by industry experts that have actually worked both in Silicon Valley and Toronto for top companies. ",https://www.udemy.com/course/complete-web-designer-mobile-designer-zero-to-mastery/,4.6
Digital Consultant,Udacity - Digital Marketing Nanodegree,"Learn digital marketing concepts including value propositions, marketing objectives, KPIs, targeted personas, customer journeys, marketing channels, content strategy, and more.",https://www.udacity.com/course/digital-marketing-nanodegree--nd018,4.7
Digital Consultant,Google - Digital Marketing & E-commerce Certificate,"Learn to manage digital marketing campaigns, attract and engage customers, and sell products online.",https://grow.google/certificates/digital-marketing-ecommerce,4.8